Website?,Problem or Solution?,BUILDING BLOCK,Substep,Environmental Tag,Environmental SubTag,World Region,Title,Author,Publisher,Date,Abstract,URL,Notes,,,,,,,,,,,,
yes,Problem,Attitude polarization,,Climate - Belief,,Canada and the US,"The Tragedy of the Risk-Perception Commons: Culture Conflict, Rationality Conflict, and Climate Change","Kahan, D. M., Wittlin, M., Peters, E., Slovic, P., Ouellette, L. L.,  Braman, D., & Mandel, G. N. ",Social Science Research Network Electronic Journal,2011,"The conventional explanation for controversy over climate change emphasizes impediments to public understanding: Limited popular knowledge of science, the inability of ordinary citizens to assess technical information, and the resulting widespread use of unreliable cognitive heuristics to assess risk. A large survey of U.S. adults (N = 1540) found little support for this account. On the whole, the most scientifically literate and numerate subjects were slightly less likely, not more, to see climate change as a serious threat than the least scientifically literate and numerate ones. More importantly, greater scientific literacy and numeracy were associated with greater cultural polarization: Respondents predisposed by their values to dismiss climate change evidence became more dismissive, and those predisposed by their values to credit such evidence more concerned, as science literacy and numeracy increased. We suggest that this evidence reflects a conflict between two levels of rationality: The individual level, which is characterized by citizens� effective use of their knowledge and reasoning capacities to form risk perceptions that express their cultural commitments; and the collective level, which is characterized by citizens� failure to converge on the best available scientific evidence on how to promote their common welfare. Dispelling this, �tragedy of the risk-perception commons,� we argue, should be understood as the central aim of the science of science communication.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1871503,"Selecting audience, counter-effects of providing more scientific information to people",,,,,,,,,,,,
Yes,"Problem, Solution","Vivid,  Identity",Identitiy - Use language that draws on identity,Climate - Belief,,Oceania,It's political: How the salience of one's political identity changes climate change beliefs and policy support,"Unsworth, K. L., & Fielding, K. S.",Global Environmental Change,2014,"Previous research has demonstrated a striking difference in climate change beliefs and policy support between people who identify with the right-wing of politics and with the left-wing of politics. But are we destined to continue with this divergence? We suggest that there is movement around these differences based on the politicization of climate change and we conducted two experimental studies with 126 and 646 people, respectively, to examine this effect. We found that those people whose political identity was made salient were less likely to believe in an anthropogenic cause of climate change and less likely to support government climate change policies than those whose identity was not made salient; particularly when those people were aligned with the right-wing of politics. The results demonstrate the importance of the salience of one's political identity in determining attitudes and beliefs even for scientific facts such as climate change. Our research also identifies some ways forward in dealing with climate change-based on depoliticizing the issue.",http://www.sciencedirect.com/science/article/pii/S0959378014000909,,,,,,,,,,,,,
Yes,Solution,"Vivid, Relatable","Vivid - Make the message memorable , Relatable - Relate it to personal experience",Climate - Belief,,Canada and the US,How do people update? The effects of local weather fluctuations on beliefs about global warming,"Deryugina, T.",Climatic Change,2013,"Global warming has become a controversial public policy issue in spite of broad scientific consensus that it is real and that human activity is a contributing factor. It is likely that public consensus is also needed to support policies that might counteract it. It is therefore important to understand how people form and update their beliefs about climate change. Using unique survey data on beliefs about the occurrence of the effects of global warming, I estimate how local temperature fluctuations influence what individuals believe about these effects. I find that some features of the updating process are consistent with rational updating. I also test explicitly for the presence of several heuristics known to affect belief formation and find strong evidence for representativeness, some evidence for availability, and no evidence for spreading activation. I find that very short-run temperature fluctuations (1 day�2 weeks) have no effect on beliefs about the occurrence of global warming, but that longer-run fluctuations (1 month�1 year) are significant predictors of beliefs. Only respondents with a conservative political ideology are affected by temperature abnormalities.",http://link.springer.com/article/10.1007/s10584-012-0615-1,,,,,,,,,,,,,
Yes,Solution,"Vivid, Associations, Relatable",,Climate - Belief,,Canada and the US,"Effect of outdoor temperature, heat primes and anchoring on belief in global warming","Joireman, J., Truelove, H. B., & Duell, B.",Journal of Environmental Psychology,2010,"It is generally acknowledged that global warming is occurring, yet estimates of future climate change vary widely. Given this uncertainty, when asked about climate change, it is likely that people�s judgments may be affected by heuristics and accessible schemas. Three studies evaluated this proposition. Study 1 revealed a significant positive correlation between the outdoor temperature and beliefs in global warming. Study 2 showed that people were more likely to believe in global warming when they had first been primed with heat-related cognitions. Study 3 demonstrated that people were more likely to believe in global warming and more willing to pay to reduce global warming when they had first been exposed to a high vs. a low anchor for future increases in temperature. Together, results reveal that beliefs about global warming (and willingness to take actions to reduce global warming) are influenced by heuristics and accessible schemas. Several practical implications are discussed.",http://www.sciencedirect.com/science/article/pii/S0272494410000319,Effect of heat of climate change perception,,,,,,,,,,,,
Yes,Solution,"Vivid, Associations, Relatable",Vivid - Make the message memorable ,Climate - Belief,,"Canada and the US, Oceania",Local Warming: Daily Temperature Change Influences Belief in Global Warming,"Li, Y., Johnson, E. J., & Zaval, L.",Psychological Science,2011,"Although people are quite aware of global warming, their beliefs about it may be malleable; specifically, their beliefs may be constructed in response to questions about global warming. Beliefs may reflect irrelevant but salient information, such as the current day�s temperature. This replacement of a more complex, less easily accessed judgment with a simple, more accessible one is known as attribute substitution. In three studies, we asked residents of the United States and Australia to report their opinions about global warming and whether the temperature on the day of the study was warmer or cooler than usual. Respondents who thought that day was warmer than usual believed more in and had greater concern about global warming than did respondents who thought that day was colder than usual. They also donated more money to a global-warming charity if they thought that day seemed warmer than usual. We used instrumental variable regression to rule out some alternative explanations. ",http://pss.sagepub.com/content/22/4/454,Effect of heat of climate change perception,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Belief,,Canada and the US,"Understanding Farmer Perspectives on Climate Change Adaptation and Mitigation: The Roles of Trust in Sources of Climate Information, Climate Change Beliefs, and Perceived Risk","Arbuckle, J. G., Jr, Morton, L. W., & Hobbs, J.",Sage Journals,2013,"Agriculture is vulnerable to climate change and a source of greenhouse gases (GHGs). Farmers face pressures to adjust agricultural systems to make them more resilient in the face of increasingly variable weather (adaptation) and reduce GHG production (mitigation). This research examines relationships between Iowa farmers� trust in environmental or agricultural interest groups as sources of climate information, climate change beliefs, perceived climate risks to agriculture, and support for adaptation and mitigation responses. Results indicate that beliefs varied with trust, and beliefs in turn had a significant direct effect on perceived risks from climate change. Support for adaptation varied with perceived risks, while attitudes toward GHG reduction (mitigation) were associated predominantly with variation in beliefs. Most farmers were supportive of adaptation responses, but few endorsed GHG reduction, suggesting that outreach should focus on interventions that have adaptive and mitigative properties (e.g., reduced tillage, improved fertilizer management).",http://eab.sagepub.com/content/47/2/205,,,,,,,,,,,,,
Yes,Problem,Optimism Bias,,Climate - Belief,,Oceania,Optimism Bias About Environmental Degradation: The Role of the Range of Impact of Precautions,"Hatfield, J., &  Job, R. F. S.",Journal of Environmental Psychology,2001,"Optimism bias regarding environmental degradation may inhibit pro-environmental behaviour. Two studies established that optimism bias regarding environmental events exists and its determinants were investigated. In study 1 (n=86) optimism bias was observed regarding some aspects of environmental degradation (e.g. air pollution affecting the local area), but not others. These results are consistent with the egocentrism account of optimism bias; egocentric focus on personal precautions may not contribute to optimism bias if others are also perceived to benefit from one's own personal precautions. Study 2 (n=121) assessed this hypothesis employing a manipulation of the perceived range of impact of risk-relevant behaviours. Subjects judged the likelihood that they and their average peer would be affected by environmental hazards, phrased in either general terms (e.g. air pollution) or specific terms (e.g. respiratory problems due to air pollution). Control subjects made estimates about the specific outcomes not explicitly related to the environment (e.g. respiratory problems). Subjects identified behaviours which influence the likelihood of being affected by each hazard. As predicted, subjects asked about general environmental hazards nominated behaviours likely to benefit many people (e.g. reduced use of ozone-damaging chemicals) and demonstrated less optimism bias than subjects asked about specific consequences of the same hazards. Optimism bias was negatively correlated with range of impact of precautions. Thus, optimism bias regarding environmental degradation may be limited by a tendency to focus on pro-environmental behaviours with a wide range of impact.",http://www.sciencedirect.com/science/article/pii/S0272494400901907,optimism bias,,,,,,,,,,,,
Maybe,Solution,Identity, Use affirmation and validation,Climate - Belief ,,Canada and the US,The Role of Information Deficits and Identity Threat in the Prevalence of Misperceptions,"Nyhan, B., & Reifler, J.",Dartmouth,2016,"Why do so many Americans hold misperceptions? We examine two factors that may contribute to the prevalence of these false or unsupported beliefs. First, many people have not been exposed to clear factual information. If so, presenting correct information in a more compelling format should reduce misperceptions. In some cases, however, people may instead reject accurate information because it threatens their worldview or self-concept - a mechanism that can be revealed by affirming individuals� self-worth, which could make them more willing to acknowledge uncomfortable facts. We find support for both hypotheses. Our results indicate that providing information in graphical form reduces misperceptions. However, self-affirmation can also help decrease misperceptions even if no other information is provided. Misperceptions are thus not simply the result of a lack of information - our results suggest many people could offer correct answers if they were less psychologically threatening.",http://www.dartmouth.edu/~nyhan/opening-political-mind.pdf,,,,,,,,,,,,,
yes,Problem,,,Climate - Belief ,,Canada and the US,Making Climate-Science Communication Evidence-based-- All the Way Down,"Kahan, D. M.",Routledge Press,2013,"Scientists and science communicators have appropriately turned to the science of science communication for guidance in overcoming public conflict over climate change. The value of the knowledge that this science can impart, however, depends on it being used scientifically. It is a mistake to believe that either social scientists or science communicators can intuit effective communication strategies by simply consulting compendiums of psychological mechanisms. Social scientists have used empirical methods to identify which of the myriad mechanisms that could plausibly be responsible for public conflict over climate change actually are. Science communicators should now use valid empirical methods to identify which plausible real-world strategies for counteracting those mechanisms actually work. Collaboration between social scientists and communicators on evidence-based field experiments is the best means of using and expanding our knowledge of how to communicate climate science.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2216469,,,,,,,,,,,,,
Yes,"Problem, Solution",Identity,Use affirmation and validation,Climate - Belief ,,Canada and the US,"Ideology, Motivated Reasoning, and Cognitive Reflection","Kahan, D. M.",Judgment and Decision Making,2013,"Decision scientists have identified various plausible sources of ideological polarization over climate change, gun violence, national security, and like issues that turn on empirical evidence. This paper describes a study of three of them: the predominance of heuristic-driven information processing by members of the public; ideologically motivated reasoning; and the cognitive-style correlates of political conservativism. The study generated both observational and experimental data inconsistent with the hypothesis that political conservatism is distinctively associated with either unreflective thinking or motivated reasoning. Conservatives did no better or worse than liberals on the Cognitive Reflection Test (Frederick, 2005), an objective measure of information-processing dispositions associated with cognitive biases. In addition, the study found that ideologically motivated reasoning is not a consequence of over-reliance on heuristic or intuitive forms of reasoning generally. On the contrary, subjects who scored highest in cognitive reflection were the most likely to display ideologically motivated cognition. These findings corroborated an alternative hypothesis, which identifies ideologically motivated cognition as a form of information processing that promotes individuals� interests in forming and maintaining beliefs that signify their loyalty to important affinity groups. The paper discusses the practical significance of these findings, including the need to develop science communication strategies that shield policy-relevant facts from the influences that turn them into divisive symbols of political identity.",http://journal.sjdm.org/13/13313/jdm13313.pdf,,,,,,,,,,,,,
