Website?,Behavioral Problem,BUILDING BLOCK,Substep,Environmental Tag,Environmental Sub-Tag,World Region,Title,Author,News Source,Date,Summary,URL,Notes,,,,,,,,,,,,
Maybe,Problem,N/A,,Climate - Belief,,Canada and the US,Education increases belief in climate change - everywhere except in the U.S. ,Heather Smith,Grist ,29-Jul-15,United States surveys on climate change concern ,http://grist.org/climate-energy/education-increases-belief-in-climate-change-everywhere-except-in-the-u-s/,,,,,,,,,,,,,
Maybe,Solution,Vivid,,Climate - Communication,,Europe,This scientist changed how we think about climate change with one gif,Chris Mooney,The Washington Post,11-May-16,Making images that are easy for people to understand ,https://www.washingtonpost.com/news/energy-environment/wp/2016/05/11/this-scientist-just-changed-how-we-think-about-climate-change-with-one-gif/,,,,,,,,,,,,,
Maybe,Solution,Vivid,,Climate - Communication,,Europe,Watch global warming spiral out of control,Brian Kahn,grist,31-May-16,talks about the circual temperature spiral graph created by climate scientist Ed Hawkins; it was very popular on social media as it provided a novel and creative way of looking at increasing temperature changes,http://grist.org/climate-energy/watch-global-warming-spiral-out-of-control/,,,,,,,,,,,,,
Maybe,Solution,Awareness,,Consumption - Buying,,N/A,Green Generation: Millenials say sustainability is a shopping priority,N/A,nielsen,5-Nov-15,Speaking to millenials values and priorities,http://www.nielsen.com/us/en/insights/news/2015/green-generation-millennials-say-sustainability-is-a-shopping-priority.html,,,,,,,,,,,,,
Maybe,Solution,Awareness,,Human Health - Go into nature,,"Asia, Canada and the US",Forest bathing' is altest fitness trend to hit U.S.- 'Where yoga was 30 years ago',Meeri Kim,The Washington Post,17-May-16,"There are benefits to human health by being outdoors, this article specifically rleates to ""forest bathing""",https://www.washingtonpost.com/news/to-your-health/wp/2016/05/17/forest-bathing-is-latest-fitness-trend-to-hit-u-s-where-yoga-was-30-years-ago/,,,,,,,,,,,,,
Maybe,Solution,"Identity, Relatable",,Waste Management - Littering,,"Canada and the US, Europe",How a little nudge can lead to better decisions,Della Bradshaw,Financial Times,15-Nov-15,"Talks about the ethics of nudge, the rise of behavioral economics in business to manipulate consumers, and includes ideas from Britain on targeting identity to reduce litter",http://www.ft.com/intl/cms/s/2/e98e2018-70ca-11e5-ad6d-f4ed76f0900a.html#axzz3rh5c0Tt3,,,,,,,,,,,,,
Yes,,Vivid,,Climate - General,,,Google just created a stunning visualization of how the world searches for �global warming�,Chris Mooney,Washington Post,17-Jun-15,Overview of searches for global warming-- peaked when global warming was most Vivid in the public mind (gore's inconvenient truth),http://www.washingtonpost.com/news/energy-environment/wp/2015/06/17/google-just-created-a-stunning-visualization-of-how-the-world-searches-for-global-warming/?postshare=8301434557434006,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Belief,,Canada and the US,Most people are neither 'alarmist' nor 'in denial' about climate change,Adam Corner,The Guardian,27-Feb-15,A recent�report�by Candice Howarth and Amelia Sharman shows argues that rigid and binary labels such as climate 'denier' or 'skeptic' �increase antagonism in the climate debate and preventing productive dialogue.  Terms such as climate 'denier' and 'skeptic' may be harming the environmental movement by fostering an unnecessarily rigid and combative discourse.,http://www.theguardian.com/sustainable-business/2015/feb/27/most-people-are-neither-alarmist-nor-in-denial-about-climate-change,,,,,,,,,,,,,
Yes,Problem,Associations,,Climate - Communication,,Europe,Five ways that people frame climate change debates,Laurence and Alison Matthews,The Guardian,23-Feb-15,Communication; Associations,http://www.theguardian.com/sustainable-business/2015/feb/23/five-ways-that-people-frame-climate-change-debates,,,,,,,,,,,,,
Yes,Solution,"Associations, Awareness, Benefits, Hopeful, Ordinary, Relatable ",,Climate - Communication,,Canada and the US,,�Lisa Bennett,grist,"June 14, 2015,",,http://www.vox.com/2015/6/14/8767823/psychology-global-warming,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Europe,Engaging the public on drought risks: stories about security,Adam Corner,Climate Outreach & Information Network,18-Mar-15,,http://www.climateoutreach.org.uk/engaging-the-public-on-drought-risks-stories-about-security/,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Climate - General Action,,Canada and the US,"What if ""green"" becomes the default setting?",Cass R. Sunstein,The Globe and Mail,27-Apr-13,"Defaults are a pervasive part of life. If we don�t notice them, it�s only because they�re an invisible part of the background. And because they maintain freedom of choice, they have big advantages over mandates and bans. If private and public institutions take smart steps to be automatically green, they will often win the trifecta: saving money, protecting the environment and increasing our energy security. ",http://www.theglobeandmail.com/globe-debate/what-if-green-becomes-the-default-setting/article11579431/,,,,,,,,,,,,,
Yes,Solution,Hopeful,,Climate - General Action,,Canada and the US,"To motivate climate activists, use optimism",Heather Smith,Grist,26-Jun-14,Behavior; Positive messaging,http://grist.org/climate-energy/to-motivate-climate-activists-use-optimism/,Importance of positive messaging/providing hope about answers to climate change for motivating action in consitituents ,,,,,,,,,,,,
Yes,Solution,Hopeful,Hopeful - Feedback,Consumption - Energy,,Canada and the US,We could keep a huge amount of carbon out of the atmosphere by changing people's behavior,Chris Mooney,The Washington Post,27-Feb-15,Behavior-based energy-savings interventions may be the EPA's best bet when it comes to reaching people and promoting energy efficiency on both sides of the aisle.�,http://www.washingtonpost.com/news/energy-environment/wp/2015/02/27/we-could-be-reaping-much-bigger-carbon-cuts-by-changing-peoples-behavior/?postshare=7231425060735465,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Provide positive social proof,Non-environmental,,Canada and the US,The Destructive Influence of Imaginary Peers,Tina Rosenberg,The New York Times,27-Mar-13, social norms,http://opinionator.blogs.nytimes.com/2013/03/27/the-destructive-influence-of-imaginary-peers/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Canada and the US,The Daily Show' and 'The Colbert Report' May Be Why So Many More People Believe in Climate Change,Kristin Magaldi,Medical Daily,8-Aug-15,satirical new shows feature less opposing views and appeal more to audiences; increases certainty in climate change,http://www.medicaldaily.com/daily-show-and-colbert-report-may-be-why-so-many-more-people-believe-climate-change-346796,,,,,,,,,,,,,
Yes,Problem,Associations,,Consumption - Buying,,Canada and the US,When Environmentalism Does More Harm than Good,Michael Levy,Center for Environmental Policy and Behavior-UC Davis,9-Apr-14,conservatives less likely to buy CFLs with environmental stickers--perhaps out of spite for environmental movement; Associations; Communicating environmental issues; messenger effects,http://environmentalpolicy.ucdavis.edu/blog/2014/04/336,,,,,,,,,,,,,
Yes,Solution,Easy,,Waste Management - Recycling,,Europe,Recycyling in the home: how to break down barriers,Joe Franses,The Guardian,2-Sep-14,behavior,http://www.theguardian.com/sustainable-business/behavioural-insights/2014/sep/02/recycling-home-break-down-barriers,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Belief,,Europe,Framing climate risk: We need more than a few magic words,Adam Corner,Climate Home,24-Mar-16,describes a study of how people respond differently to climate change impacts (ie. people are more likely to resonate with language relating to avoiding waste than they are to language talking about the profits of renewable energy),http://www.climatechangenews.com/2016/03/24/framing-climate-risk-we-need-more-than-a-few-magic-words/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Belief,,Canada and the US,4 factors that affect how people feel about climate change ,Ellen Hall ,EcoAffect,11-Nov-15,"political affiliation, personal experience, gender, and religion influence how we feel about climate action ",http://ecoaffect.org/2015/11/11/4-factors-that-affect-how-people-feel-about-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Belief,,Canada and the US,"Faith, Morality and the Environment","Connie Roser-Renouf,�Edward Maibach,�Anthony Leiserowitz,�Geoff Feinberg�and�Seth Rosenthal",Yale Project on Climate Change Communication,19-Jan-16,Using morality as a climate action motivator ,http://climatecommunication.yale.edu/publications/faith-morality-environment/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Belief,,Europe,Blog: The Great Opportunity- Engaging People of Faith,George Marshall,Climate Outreach,16-Feb-16,Overview of how to appeal environmental conservation to religious groups,http://climateoutreach.org/climate-faith/,,,,,,,,,,,,,
Yes,Problem,Confirmation Bias,,Climate - Belief,,Canada and the US,"Here's how scientific misinformation, such as climate doubt, spreads through social media ",Chelsea Harvey ,The Washington Post,4-Jan-16,"Confirmation bias, communicating with conspiracy theorists",https://www.washingtonpost.com/news/energy-environment/wp/2016/01/04/heres-how-scientific-misinformation-such-as-climate-doubt-spreads-through-social-media/,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Belief,,"Africa, Central and South America, Asia, Canada and the US, Europe, Oceania",What the world thinks of climate change ,David Funkhouser,State of the Planet ,27-Jul-15,"What factors determine climate change concer, how to increase those numbers is to target local climate change issues ",http://blogs.ei.columbia.edu/2015/07/27/what-the-world-thinks-of-climate-change/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Europe,How to talk about uncertainty in climate science ,Leane de Laigue and Adam Corner,Climate Outreach & Information Network,10-Jul-15,How communicate scientific uncertainties in ways that make a sure impact ,http://climateoutreach.org/how-to-talk-about-uncertainty-in-climate-science/,,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Relatable",,Climate - Communication,,Canada and the US,Reframing Climate Change - What Works Best,Ellen Hall ,EcoAffect,16-Mar-16,"Repetition, sources, and affirmation may be more effective than reAssociations the climate coversation",http://ecoaffect.org/2016/03/16/does-reframing-climate-change-actually-work/,,,,,,,,,,,,,
Yes,Solution,"Associations, Easy, Hopeful, Ordinary",Ordinary - Strengthen the norm through social networks,Climate - Communication,,Europe,5 strategies for better climate communication ,Per Espen Stoknes and Sigrid Moyner Hohle,Talking Climate ,26-Aug-14,pitfalls of communication and corresponding remedies ,http://talkingclimate.org/5-strategies/,,,,,,,,,,,,,
Yes,Solution,"Associations, Hopeful, Relatable, Vivid",,Climate - Communication,,Canada and the US,What you need to know about the changing climate conversation ,Cara Pike,Climate Access,29-Feb-16,Tips on how to overcome biases in climate change conversations,http://www.climateaccess.org/blog/what-you-need-know-about-changing-climate-conversation,,,,,,,,,,,,,
Yes,Solution,"Associations, Hopeful, Relatable, Vivid",,Climate - Communication,,Europe,7 smarter ways to talk about climate change,Amelia Urry,grist,8-Feb-16,"similar to the one above, tips on how to talk to people about climate change in order to sway them",http://grist.org/climate-energy/7-smarter-ways-to-talk-about-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Canada and the US,Want to connect with climate skeptics? Just listen,Peter Byck,GreenBiz,17-Jun-15,How to find common ground with climate skeptics,https://www.greenbiz.com/article/want-connect-climate-skeptics-just-listen,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Canada and the US,"To give life to the Paris climate agreement, connect on personal values ",Kara Ball ,EcoAffect,21-Apr-16,"Appealing to legacy, personal risks, religious values, etc. ",http://ecoaffect.org/2016/04/21/to-give-life-to-the-paris-climate-agreement-connect-on-personal-values/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Europe,How to talk about uncertainty in climate science,Leane de Laigue and Adam Corner,Climate Home,7-Sep-15,tips on how to talk to skeptical people about climate change (how to frame certain concepts and connect with the person),http://www.climatechangenews.com/2015/07/09/how-to-talk-about-uncertainty-in-climate-science/,"what I found interesting was how the article explained that when describing a consequence of climate change to gain support, DON'T cite a fixed poinnt in time and an uncertain outcome (ie. ""By 2072, sea levels will rise by between 25 and 68 cm, with 50 cm being the average projection."" Instead, utilize a certain outcome and uncertain point in time (ie. ""sea levels will rise by at least 50 cm, and this will occur at some time between 2060 and 2093"")",,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Europe,Finding the right words - shaping an effective climate change narrative ,George Marshall,Climate Outreach & Information Network,22-Dec-15,Associations climate narratives via careful word choice,http://climateoutreach.org/finding-the-right-words-shaping-an-effective-climate-change-narrative/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Europe,Blog: Is framing a waste of time when it comes to climate change communication? ,Adam Corner,Climate Outreach & Information Network,24-Mar-16,Effective versus in effective Associations ,http://climateoutreach.org/is-framing-a-waste-of-time/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable, Vivid",,Climate - Communication,,"Canada and the US, Europe",Introducing Climate Visuals: An innovative new resource for visual climate change communication,Adam Corner,Climate Outreach,14-Jan-16,Climate change is abstract and distant for a lot of people. This article provides ways to truly resonate/personalize it with individuals so that they care more,http://climateoutreach.org/introducing-climate-visuals-an-innovative-new-resource-for-visual-climate-change-communication/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Hopeful, Relatable, Vivid",,Climate - Communication,,Canada and the US,Highlights from the Hub,Meredith Hurr,Climate Access,15-Jan-16,Associations climate conversations in effective ways ,http://www.climateaccess.org/blog/highlights-hub,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Climate - Communication,,Canada and the US,Portland Bans Climate-Denying Textbooks From Its Schools,Katie Valentine,Think Progress,23-May-16,Oregon bans any textbooks that doubt the magnitude of climate change or that it is human caused. This sets a default for the kind of education that students receive in a time when education about climate change is imperative,http://thinkprogress.org/climate/2016/05/23/3780854/portland-textbooks-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Easy, Ordinary",Ordinary - Strengthen the norm through social networks,Climate - Communication,,Canada and the US,"50 years of climate communications, what have we learned? How can we improve? ",Cindy Frei,EcoAffect,4-Nov-15,Overkill effect at work and using social media platforms to communicate,http://ecoaffect.org/2015/11/04/looking-back-on-50-years-of-climate-communications-where-are-we-now/,,,,,,,,,,,,,
Yes,Solution,"Hopeful, Relatable, Vivid",,Climate - Communication,,Canada and the US,New Research: 4 top messages for strengthening support for climate solutions ,Ellen Hall ,EcoAffect,24-Nov-15,Appealing to legacy and hopef for future,http://ecoaffect.org/2015/11/24/new-research-4-top-messages-for-strengthening-support-for-climate-solutions/,,,,,,,,,,,,,
Yes,Solution,"Hopeful, Relatable, Vivid",,Climate - Communication,,Canada and the US,Here's everything we know about how to talk about climate change,Amelia Urry,grist,7-Apr-16,guidelines on the best effective way of reaching people when talking about climate change; aligns very well with the behavioral building blocks,http://grist.org/climate-energy/heres-everything-we-know-about-how-to-talk-about-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Hopeful, Vivid",,Climate - Communication,,Canada and the US,"Climate change is a major threat to us all, but heres why you might not care",Lydia O'Connor,The Huffington Post,5-May-16,"Overkill effect in action, fatigue sets in when we're exposed to too much information",http://www.huffingtonpost.com/entry/climate-change-psychology_us_571ead75e4b0f309baee5b9b,,,,,,,,,,,,,
Yes,Solution,"Identity, Ordinary",Ordinary - Model the desired behavior,Climate - Communication,,Canada and the US,What do angry birds and mad max have in common? A climate change message,Adam Corner,The Guardian ,5-Jun-15,Making climate change  and solutinos familiar through film,http://www.theguardian.com/sustainable-business/2015/jun/05/mad-max-angry-birds-climate-change-message?,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Provide positive social proof,Climate - Communication,,Canada and the US,The vicious cycle that makes people afraid to talk about climate change ,Chris Mooney,Washington Post,12-May-16,Why Americans don't feel comfortable talking about climate change has a lot to do with their uncertaintiy about how other Americans feel about climate change ,https://www.washingtonpost.com/news/energy-environment/wp/2016/05/12/the-vicious-cycle-that-makes-people-afraid-to-talk-about-climate-change/,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,Canada and the US,Human conversation about cliamte change,Amy Huva,Climate Access,27-Jul-15,Creating viewpoints of underwater bikepaths sparks converstaion ,http://www.climateaccess.org/blog/human-conversations-about-climate-change,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,Canada and the US,Climate messaging: lessons from the marriage equality movement,Ellen Hall ,EcoAffect,4-Apr-16,"Appealing to personal life, friends and family will be affected by climate change",http://ecoaffect.org/2016/04/04/climate-messaging-lessons-from-the-marriage-equality-movement/,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,Canada and the US,How to talk global warming in plain English ,Erika Bolstad,ClimateWire,28-Mar-16,Targeting immediate and local risks is the most effective method of insipring climate action ,http://www.scientificamerican.com/article/how-to-talk-global-warming-in-plain-english/,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,Europe,9 best practices for engaging the public on climate-related flood risks,Cindy Frei,EcoAffect,6-Nov-15,communication about tangible risks ,http://ecoaffect.org/2015/11/06/9-best-practices-for-engaging-the-public-on-climate-related-flood-risks/,,,,,,,,,,,,,
