Published?,Problem or Solution,BUILDING BLOCK or COGNITIVE BIAS,Environmental Tag,World Region,Title,Author,News Source,Date,URL
Published,Solution,Easy,Waste Management - Recycle/Reuse/Repurpose,Canada and the US,It is Easy Being Green,None Listed ,The Green Bin Pilor Program Newsletter,6/29/05,http://www.regionofwaterloo.ca/en/aboutTheEnvironment/resources/NewsletterJune07.pdf
Published,Solution,Vivid,"Consumption - Plastics, Wildlife - Hunting",Canada and the US,Chris Jordan photo series,Chris Jordan,Chris Jordan ,7/1/05,http://www.chrisjordan.com/gallery/rtn2/#bees
Published,Problem,Cognitive Bias - Confirmation Bias,Climate - Belief,Canada and the US,The Science of Why We Don't Believe Science,Chris Mooney,Mother Jones,7/3/05,http://www.motherjones.com/politics/2011/03/denial-science-chris-mooney
Published,Solution,"Associations, Awareness",Climate - Belief ,Europe,Common Cause For Nature: A practical guide to values and frames in conservation,"Hawkins, R.",Public Interest Research Center,7/4/05,http://valuesandframes.org/initiative/nature/
Published,Solution,Benefits ,Pollution - Noise,Asia ,Bleep: Horn Reduction System,Anand Damani and Mayur Tekchandaney,Briefcase ,7/5/05,http://brief-case.co/bleep.html
Published,Solution,"Lasting, Awareness",None,Canada and the US,Simple Psychology of Habits,Marc David,Psychology of Eating,7/7/05,http://psychologyofeating.com/simple-psychology-habits/
Published,Solution,Identity,Consumption - Freshwater,Canada and the US,Water efficient Durham,None Listed ,Tools of Change,8/1/04,http://www.toolsofchange.com/English/CaseStudies/?ID=156
Published,Solution ,Vivid ,Consumption - Energy ,Oceania ,Black Balloons Inflate Green Awareness,David Rood ,The Age ,6/7/06,http://www.theage.com.au/news/national/black-balloons-inflate-green-awareness/2007/03/12/1173548107194.html
Published,Solution,Easy,None,Canada and the US,Unnatural Selection,Barry Schwartz,New York Times,4/12/07,http://www.nytimes.com/2007/04/12/opinion/12schwartz.html?pagewanted=2&_r=0&ei=5124&en=5abe7f7de4d088be&ex=1334116800&partner=permalink&exprod=permalink
Published,Solution,"Associations, Relatable",Climate - Take Action,Canada and the US,Scope Insensitivity,Eliezer Yudkowsky,Less Wrong,5/14/07,http://lesswrong.com/lw/hw/scope_insensitivity/
Published,Solution,Easy ,Food - Waste ,Canada and the US ,The Business and Cultural Acceptance Case for Trayless Dining,Aramark higher education,Elon University ,7/1/08,http://www.elon.edu/docs/e-web/bft/sustainability/ARAMARK%20Trayless%20Dining%20July%202008%20FINAL.pdf
Published,Solution,Lasting,None,"Africa, Asia, Canada and the US, Europe",Warning: Habits May Be Good For you,Charles Duhigg,NY Times,7/13/08,http://www.nytimes.com/2008/07/13/business/13habit.html?ex=1373601600&en=e3072a7b2bc8ebf4&ei=5124&partner=permalink&exprod=permalink&_r=1
Published,Solution,Easy,Transportation - Biking,Europe,A fashion catches on in Paris: Cheap bicycle rentals,Steven Erlanger,New York Times,7/13/08,http://www.nytimes.com/2008/07/13/world/europe/13paris.html?pagewanted=all
Published,Solution,Lasting,"Consumption - Energy, Energy - Renewables, Transportation - Sustainable, Transportation - Biking, Waste Management - Recycle/Reuse/Repurpose",Canada and the US,Campus Sustainability Best Practices ,"Deval L. Patrick, Timothy Murray, and Ian A. Bowles",Massachusetts Executive Office of Energy and Environmental Affairs,8/1/08,http://www.mass.gov/eea/docs/eea/lbe/lbe-campus-sustain-practices.pdf
Published,Solution,Identity,Consumption - Energy,Canada and the US,A Commitment Device for Energy Conservation,Freakonomics,Freakonomics,11/14/08,http://freakonomics.com/2008/11/14/a-commitment-device-for-energy-conservation/
Published,Solution,Identity,None,Canada and the US,Preach what you plan to practice,Shankar Vendatam,The Washington Post,1/6/09,http://www.washingtonpost.com/wp-dyn/content/article/2009/01/05/AR2009010501863.html
Published,Solution,"Easy, Vivid",Waste Management - Recycle/Reuse/Repurpose,Canada and the US,Recycling Bins 34% More Effective When They Have...Holes!,Jaymi Heimbuch,treehugger,1/27/09,http://www.treehugger.com/clean-technology/recycling-bins-34-more-effective-when-they-haveholes.html
Published,Solution,Ordinary ,Consumption - Energy,Canada and the US,"Utilities Turn Their Customers Green, With Envy",Leslie Kaufman,The New York Times,1/30/09,http://www.nytimes.com/2009/01/31/science/earth/31compete.html?_r=0
Published,Solution,Lasting,"Consumption - Buying, Food - Organic/Sustainable",Canada and the US,Moms and Consumer Habits: Have Habits Changed in the Current Economy?,Tracey Hope-Ross,Mom Central Consulting,6/12/09,http://www.slideshare.net/thopeross/moms-and-consumer-habits-have-habots-changed-in-the-current-economy
Published,Solution,Vivid,Consumption - Paper use,Canada and the US,These Come From Trees,Pete Kazanjy,These Come From Trees Blog,8/22/09,http://thesecomefromtrees.blogspot.com/2009/08/wow-29-paper-towel-use-reduction-at.html
Published,Problem,"Awareness, General",None,Canada and the US,Decision-Making,None listed ,Society for Neuroscience,10/1/09,http://www.brainfacts.org/sensing-thinking-behaving/awareness-and-attention/articles/2009/decision-making/
Published,Problem,Identity,None,Canada and the US,Our Brains are Wired For Hypocrisy,Sharon Begley,Newsweek,10/19/09,http://www.newsweek.com/our-brains-are-wired-hypocrisy-begley-80941
Published,Solution,"Associations, Identity",None,Canada and the US,Implementation Intentions Facilitate Action Control,Timothy A Pychyl,Psychology Today,1/21/10,https://www.psychologytoday.com/blog/dont-delay/201001/implementation-intentions-facilitate-action-control
Published,Problem,Identity,None,Canada and the US,"Monkeys, Candy and Cognitive Dissonance",John Tierney,The New York Times,1/27/10,http://tierneylab.blogs.nytimes.com/2010/01/27/monkeys-candy-and-cognitive-dissonance/?_r=0
Published,Solution,Easy,Climate - General,"Canada and the US, Europe",Environment' - Nudging Truckers,Richard H. Thaler and Cass R. Sunstein,wordpress ,2/4/10,https://nudges.wordpress.com/tag/environment/
Published,Solution,"Easy, Hopeful",Climate - Take Action,Canada and the US,Can Smiley Faces (and a 14-Step Program to Stop Overconsumption) Save the Global Climate?,David Biello,Scientific American,3/16/10,http://www.scientificamerican.com/article/overconsumption-consumer-green/
Published,Solution,Benefits,Consumption - Energy,Canada and the US,What Behavioral Science Has to Say About Energy Conservation,Hunt•À_Allcott,Resources for the Future: Policy commentary series,4/9/10,http://www.rff.org/Publications/WPC/Pages/What-Behavioral-Science-Has-to-Say-About-Energy-Conservation.aspx
Published,Solution,Lasting,Consumption - Energy,Canada and the US,Advanced Metering Initiatives and Residential Feedback Programs: A Meta-Review for Household Electricity-Saving Opportunities,"Karen Ehrhardt-Martinez, Kat A. Donnelly and John A. Laitner",American Council for an Energy-Efficient Economy,6/26/10,http://aceee.org/research-report/e105
Published,Problem,Cognitive Bias - Moral licensing,Climate - Take Action,Canada and the US,Why going green won't make you better or save you money,Michael S. Rosenwald,The Washington Post,7/18/10,http://www.washingtonpost.com/wp-dyn/content/article/2010/07/16/AR2010071606839.html
Published,Problem,Cognitive Bias - Moral licensing,Consumption - Buying,Canada and the US,Green and Mean: Eco-Shopping Has a Side effect,Emily Anthes,The Scientific American Magazine,9/1/10,http://www.scientificamerican.com/article/green-and-mean/
Published,Solution,"Benefits, Easy",Waste Management - Recycle/Reuse/Repurpose,Canada and the US,7 Clever and Innovative Ways to Get People to Recycle ,Alden Wicker ,The Huffington Post,9/30/10,http://www.huffingtonpost.com/2010/09/30/8-clever-and-innovative-w_n_736668.html
Published,Solution,Identity,None,Canada and the US,"When in doubt, shout - why shaking someone's beliefs turns them into stronger advocates",Ed Yong,Discover,10/19/10,http://blogs.discovermagazine.com/notrocketscience/2010/10/19/when-in-doubt-shout-%E2%80%93-why-shaking-someone%E2%80%99s-beliefs-turns-them-into-stronger-advocates/#.VXm7rPlVhBc
Published,Solution,"Identity, Ordinary",None,Canada and the US,Nudge the Vote,Sasha Issenberg ,The New York Times,10/29/10,http://www.nytimes.com/2010/10/31/magazine/31politics-t.html?pagewanted=all&_r=0
Published,Solution,Awareness ,None,Canada and the US,Just Breathe: Body Has A Built-In Stress Reliever,Gretchen Cuda,NPR,12/6/10,http://www.npr.org/2010/12/06/131734718/just-breathe-body-has-a-built-in-stress-reliever
Published,Problem,Identity,Climate - Belief,Canada and the US,Cognitive Dissonance and Social Change: What Can We Learn?,Weh Yeoh,WhyDev,12/18/10,http://www.whydev.org/cognitive-dissonance-and-social-change-what-can-we-learn/
Published,Solution,Lasting ,Whole System - Carbon Footprint,Europe,One Tonne Life: A Swedish Family's Green Lifestyle Experiment Begins ,Leonora Oppenheim,treehugger,1/21/11,http://www.treehugger.com/cars/one-tonne-life-a-swedish-familys-green-lifestyle-experiment-begins.html
Published,Solution,"Ordinary, Vivid",Climate - Belief,Canada and the US,Is it hot in here? Or is the climate changing?,Miller-McCune,grist,1/29/11,http://grist.org/article/2011-01-28-is-it-hot-in-here-or-is-the-climate-changing/
Published,Solution,Vivid,Climate - General,Canada and the US,Global Warming: Science or Sensation? Feeling Warm Makes People More Likely to Believe in Phenomenon,Clayton Critcher,Berkeley Haas School of Business,2/10/11,http://newsroom.haas.berkeley.edu/research-news/global-warming-science-or-sensation-feeling-warm-makes-people-more-likely-believe
Published,Solution,"Associations, Relatable, Vivid",Climate - Belief,"Canada and the US, Oceania","global warming, like politics, is local",Art Markman,Psychological Today,4/29/11,https://www.psychologytoday.com/blog/ulterior-motives/201104/global-warming-politics-is-local
Published,Problem,Cognitive Bias - Motivated Reasoning,None,Canada and the US,What is Motivated Reasoning?  How Does it Work?  Dan Kahan Answers,Chris Mooney,Discover,5/5/11,http://blogs.discovermagazine.com/intersection/2011/05/05/what-is-motivated-reasoning-how-does-it-work-dan-kahan-answers/#.VwQ4ofkrLIV
