Website?,Problem or Solution?,BUILDING BLOCK,Substep,Environmental Tag,Environmental SubTag,World Region,Title,Author,Publisher,Date,Date,Abstract,URL,Notes,Included in Vingettes?,Included in Case Studies?,Essential Not Essential,Posted on Twitter?,Tweet,Tweet Date,Retweet,Retweet Date,Posted on Facebook,Facebook Post Date,,,,,
Problem,Inattentional bias,Non environmental example,Inattentional Blindness: Chris Chabris at TEDxAlbany 2011,Christopher Chabris,TED,,"inattentional blindness, expectations, memory",,,,https://www.youtube.com/watch?v=qHUJ6seBoCg,Mindful = No; Salient = No,Mindful = No; Salient = No,,yes,Yes,Inattentional Blindness�#tedtalk�by @cfchabris�ow.ly/Ujzvw#decisionscience,1/7/16,,,,,,Yes,,,,,
Problem,"Salient, Identity",Climate - Belief,"Dan M. Kahan - Science Communication as the ""New Political Science"" for Democracy",Dan Kahan,,2012,"The current deficits in science communication. People's values and overall worldviews influence how they think about climate change. This means that polarization increases as scientific literacy increases; availability heuristic, confirmation bias, social norms",,16 min,https://www.youtube.com/watch?v=LZah9G-7vxw is very similar,https://www.youtube.com/watch?v=d5fBkivqa78,No,No,,yes,Yes,"VIDEO: Dan Kahan:�#Science�Literacy, Numeracy and�#ClimateChange�Risk Perceptions�http://ow.ly/UvbZL#climate�#communication",1/13/16,8/3/16,,,,,Yes,,,,,
Solution,"Associations, Identity",Non-environmental,"Anthony Leiserowitz on global warming's ""Six Americas""",Anthony Leiserowitz,,2009,discusses the 6 types of response to global warming among the American public,,,,https://www.youtube.com/watch?v=hbkJ5MKEVEE/ http://www.ted.com/talks/dan_pink_on_motivation,No,No,,yes,Yes,".@ecotone2�talks about the findings from his ""6 Americas"" study on what the public believes about#climatechange.�http://ow.ly/UvdRI",1/26/16,,,,,,,,,,,
Problem,Easy,Non-environmental,RSA Spotlight: Cass Sunstein on Why Nudge?,Cass Sunstein,,2014,Discusses some of the concerns people might have about using nudges to influence behavior,,7 min,,https://www.youtube.com/watch?v=3AF09YG6tDs,No,No,,yes,Yes,.@CassSunstein discusses some of the concerns people might have about using #nudges to influence behavior http://ow.ly/YeWOY,3/1/16,,,,,,,,,,,
Solution,"Relatable, Easy",Climate - Mitigations,Fostering sustainable behavior: An introduction to community-based social marketing,Doug McKenzie-Mohr,New society publishers,2013,"strategies for effective social marketing and behavioral interventions to promote proenvironmental behavior; commitment setting/ sense of self, expert bias, social norms",,49 min,Video,https://www.youtube.com/watch?v=dtWG-HYcGY4 or https://vimeo.com/72849395 (a shorter version of the same  video),Yes (Removed),No,,yes,Yes,Strategies for effective social marketing and behavioral interventions to promote pro-environmental behavior http://ow.ly/YeXjk,3/3/16,,,,,,Yes,,,,,
,,Climate - Generla Action,Robert Cialdini at ZURICH.MINDS -- Influence,Robert Cialdini,,,using social norms to change environmental behavior; social norms,,19 min,,https://www.youtube.com/watch?v=HNxDinw_Kjo,No,No,,yes,Yes,using social norms to change environmental behavior via @robertcialdini http://ow.ly/YeXto,3/10/16,,,,,,Yes,,,,,
,,,The Right Approach to Sustainability,Vladas Griskevicius,,,"list of behavioral science principles that influence sustainable behavior; social norms, availability heuristic, discounting",,2.5 min,,https://www.youtube.com/watch?v=G7OhZ0Opi2M,No,No,,yes,Yes,The Right Approach to #Sustainability Youtube video http://ow.ly/Xzv64,4/19/16,,Yes,3/28/16,,,,,,,,
,Salient,,"Advantages of Local Climate Change Forecasts and Feedback, With a Couple of Caveats",Elke Weber,,,"how to get people to prepare for natural disasters and care about climate change. It is too abstract and distant to most people. Applications to risk management; availability heuristic, wishful thinking, sense of self, confirmation bias, priming, limited attention, discounting",,20 min,overview of many different decision science principles and how they influence people's belief in and willingness to respond to climate change,https://www.youtube.com/watch?v=nfGaMvvYtpk,No,No,,yes,Yes,".@Elke Weber: Advantages of Local #ClimateChange Forecasts and Feedback, With a Couple of Caveats http://ow.ly/XzvYh",1/12/16,7/20/16,Yes,3/30/16,,,Yes,,,,,
,Personal,,Making People Care About Climate Change,Anthony Leiserowitz,,,"discusses why it is hard for people to conceptualize and act on climate change, the importance of creating an organized movement, different communication strategies; discounting, sense of self",,45 min,,https://www.youtube.com/watch?v=V6l1rFvOarM,No,No,,yes,Yes,Making People Care About Climate Change http://ow.ly/Y97CT,4/25/16,,,,,,,,,,,
,Normal,,Tina Rosenberg: Harnessing the Power of Peers for Behavior Change,Tina Rosenberg,,,benefits of peer pressure. People change their behavior because they identify with people who have already made the behavior change. Applications for sustainable living; sense of self,,35 min,,https://www.youtube.com/watch?v=2grEguLHezI,No,No,,yes,Yes,,7/7/16,,,,,,,,,,,
